discipline_title,slug_game,event_title,event_gender,medal_type,participant_type,athlete_full_name,country_name,country_code,country_3_letter_code
Table Tennis,tokyo-2020,Mixed Doubles,Mixed,GOLD,GameTeam,Jun MIZUTANI,Japan,JP,JPN
Table Tennis,tokyo-2020,Mixed Doubles,Mixed,GOLD,GameTeam,Mima ITO,Japan,JP,JPN
Table Tennis,tokyo-2020,Mixed Doubles,Mixed,SILVER,GameTeam,Xin XU,People's Republic of China,CN,CHN
Table Tennis,tokyo-2020,Mixed Doubles,Mixed,SILVER,GameTeam,Shiwen LIU,People's Republic of China,CN,CHN
Table Tennis,tokyo-2020,Mixed Doubles,Mixed,BRONZE,GameTeam,Yun Ju LIN,Chinese Taipei,TW,TPE
Table Tennis,tokyo-2020,Mixed Doubles,Mixed,BRONZE,GameTeam,I-Ching CHENG,Chinese Taipei,TW,TPE
Table Tennis,tokyo-2020,Women's Singles,Women,SILVER,Athlete,Yingsha SUN,People's Republic of China,CN,CHN
Table Tennis,tokyo-2020,Women's Singles,Women,GOLD,Athlete,Meng CHEN,People's Republic of China,CN,CHN
Table Tennis,tokyo-2020,Women's Singles,Women,BRONZE,Athlete,Mima ITO,Japan,JP,JPN
Table Tennis,tokyo-2020,Men's Team,Men,GOLD,GameTeam,,People's Republic of China,CN,CHN
Table Tennis,tokyo-2020,Men's Team,Men,SILVER,GameTeam,,Germany,DE,GER
Table Tennis,tokyo-2020,Men's Team,Men,BRONZE,GameTeam,,Japan,JP,JPN
Canoe Slalom,tokyo-2020,Men's Kayak,Men,BRONZE,Athlete,Hannes AIGNER,Germany,DE,GER
Canoe Slalom,tokyo-2020,Men's Kayak,Men,GOLD,Athlete,Jiri PRSKAVEC,Czech Republic,CZ,CZE
Canoe Slalom,tokyo-2020,Men's Kayak,Men,SILVER,Athlete,Jakub GRIGAR,Slovakia,SK,SVK
Canoe Slalom,tokyo-2020,Women's Canoe,Women,GOLD,Athlete,Jessica FOX,Australia,AU,AUS
Canoe Slalom,tokyo-2020,Women's Canoe,Women,BRONZE,Athlete,Andrea HERZOG,Germany,DE,GER
Canoe Slalom,tokyo-2020,Women's Canoe,Women,SILVER,Athlete,Mallory FRANKLIN,Great Britain,GB,GBR
Canoe Slalom,tokyo-2020,Women's Kayak,Women,GOLD,Athlete,Ricarda FUNK,Germany,DE,GER
Canoe Slalom,tokyo-2020,Women's Kayak,Women,BRONZE,Athlete,Jessica FOX,Australia,AU,AUS
Canoe Slalom,tokyo-2020,Women's Kayak,Women,SILVER,Athlete,Maialen CHOURRAUT,Spain,ES,ESP
Canoe Slalom,tokyo-2020,Men's Canoe,Men,BRONZE,Athlete,Sideris TASIADIS,Germany,DE,GER
Canoe Slalom,tokyo-2020,Men's Canoe,Men,SILVER,Athlete,Lukas ROHAN,Czech Republic,CZ,CZE
Canoe Slalom,tokyo-2020,Men's Canoe,Men,GOLD,Athlete,Benjamin SAVSEK,Slovenia,SI,SLO
Marathon Swimming,tokyo-2020,Women's 10km,Women,SILVER,Athlete,Sharon VAN ROUWENDAAL,Netherlands,NL,NED
Marathon Swimming,tokyo-2020,Women's 10km,Women,GOLD,Athlete,Ana Marcela CUNHA,Brazil,BR,BRA
Marathon Swimming,tokyo-2020,Women's 10km,Women,BRONZE,Athlete,Kareena LEE,Australia,AU,AUS
Marathon Swimming,tokyo-2020,Men's 10km,Men,SILVER,Athlete,Kristof RASOVSZKY,Hungary,HU,HUN
Marathon Swimming,tokyo-2020,Men's 10km,Men,BRONZE,Athlete,Gregorio PALTRINIERI,Italy,IT,ITA
Marathon Swimming,tokyo-2020,Men's 10km,Men,GOLD,Athlete,Florian WELLBROCK,Germany,DE,GER
Trampoline Gymnastics,tokyo-2020,Men,Men,SILVER,Athlete,Dong DONG,People's Republic of China,CN,CHN
Trampoline Gymnastics,tokyo-2020,Men,Men,GOLD,Athlete,Ivan LITVINOVICH,Belarus,BY,BLR
Trampoline Gymnastics,tokyo-2020,Men,Men,BRONZE,Athlete,Dylan SCHMIDT,New Zealand,NZ,NZL
Trampoline Gymnastics,tokyo-2020,Women,Women,BRONZE,Athlete,Bryony PAGE,Great Britain,GB,GBR
Trampoline Gymnastics,tokyo-2020,Women,Women,GOLD,Athlete,Xueying ZHU,People's Republic of China,CN,CHN
Trampoline Gymnastics,tokyo-2020,Women,Women,SILVER,Athlete,Lingling LIU,People's Republic of China,CN,CHN
Volleyball,tokyo-2020,Men,Men,GOLD,GameTeam,,France,FR,FRA
Volleyball,tokyo-2020,Men,Men,SILVER,GameTeam,,ROC,ROC,ROC
Volleyball,tokyo-2020,Men,Men,BRONZE,GameTeam,,Argentina,AR,ARG
Volleyball,tokyo-2020,Women,Women,GOLD,GameTeam,,United States of America,US,USA
Volleyball,tokyo-2020,Women,Women,SILVER,GameTeam,,Brazil,BR,BRA
Volleyball,tokyo-2020,Women,Women,BRONZE,GameTeam,,Serbia,RS,SRB
Basketball,tokyo-2020,Men,Men,GOLD,GameTeam,,United States of America,US,USA
Basketball,tokyo-2020,Men,Men,SILVER,GameTeam,,France,FR,FRA
Basketball,tokyo-2020,Men,Men,BRONZE,GameTeam,,Australia,AU,AUS
Basketball,tokyo-2020,Women,Women,GOLD,GameTeam,,United States of America,US,USA
Basketball,tokyo-2020,Women,Women,SILVER,GameTeam,,Japan,JP,JPN
Basketball,tokyo-2020,Women,Women,BRONZE,GameTeam,,France,FR,FRA
Taekwondo,tokyo-2020,Men -68kg,Men,GOLD,Athlete,Ulugbek RASHITOV,Uzbekistan,UZ,UZB
Taekwondo,tokyo-2020,Men -68kg,Men,SILVER,Athlete,Bradly SINDEN,Great Britain,GB,GBR
Taekwondo,tokyo-2020,Men -68kg,Men,BRONZE,Athlete,Hakan RECBER,Turkey,TR,TUR
Taekwondo,tokyo-2020,Men -68kg,Men,BRONZE,Athlete,Shuai ZHAO,People's Republic of China,CN,CHN
Taekwondo,tokyo-2020,Men -80kg,Men,BRONZE,Athlete,Seif EISSA,Egypt,EG,EGY
Taekwondo,tokyo-2020,Men -80kg,Men,GOLD,Athlete,Maksim KHRAMTCOV,ROC,ROC,ROC
Taekwondo,tokyo-2020,Men -80kg,Men,SILVER,Athlete,Saleh ELSHARABATY,Jordan,JO,JOR
Taekwondo,tokyo-2020,Men -80kg,Men,BRONZE,Athlete,Toni KANAET,Croatia,HR,CRO
Taekwondo,tokyo-2020,Men +80kg,Men,BRONZE,Athlete,Kyo Don IN,Republic of Korea,KR,KOR
Taekwondo,tokyo-2020,Men +80kg,Men,GOLD,Athlete,Vladislav LARIN,ROC,ROC,ROC
Taekwondo,tokyo-2020,Men +80kg,Men,SILVER,Athlete,Dejan GEORGIEVSKI,North Macedonia,MK,MKD
Taekwondo,tokyo-2020,Men +80kg,Men,BRONZE,Athlete,Rafael CASTILLO,Cuba,CU,CUB
Taekwondo,tokyo-2020,Women +67kg,Women,GOLD,Athlete,Milica MANDIC,Serbia,RS,SRB
Taekwondo,tokyo-2020,Women +67kg,Women,SILVER,Athlete,Dabin LEE,Republic of Korea,KR,KOR
Taekwondo,tokyo-2020,Women +67kg,Women,BRONZE,Athlete,Althea LAURIN,France,FR,FRA
Taekwondo,tokyo-2020,Women +67kg,Women,BRONZE,Athlete,Bianca WALKDEN,Great Britain,GB,GBR
Taekwondo,tokyo-2020,Women -67kg,Women,GOLD,Athlete,Matea JELIC,Croatia,HR,CRO
Taekwondo,tokyo-2020,Women -67kg,Women,SILVER,Athlete,Lauren WILLIAMS,Great Britain,GB,GBR
Taekwondo,tokyo-2020,Women -67kg,Women,BRONZE,Athlete,Hedaya WAHBA,Egypt,EG,EGY
Taekwondo,tokyo-2020,Women -67kg,Women,BRONZE,Athlete,Ruth Marie Christelle GBAGBI,Côte d'Ivoire,CI,CIV
Taekwondo,tokyo-2020,Women -57kg,Women,BRONZE,Athlete,Chia-Ling LO,Chinese Taipei,TW,TPE
Taekwondo,tokyo-2020,Women -57kg,Women,GOLD,Athlete,Anastasija ZOLOTIC,United States of America,US,USA
Taekwondo,tokyo-2020,Women -57kg,Women,SILVER,Athlete,Tatiana KUDASHOVA,ROC,ROC,ROC
Taekwondo,tokyo-2020,Women -57kg,Women,BRONZE,Athlete,Hatice Kubra ILGUN,Turkey,TR,TUR
Taekwondo,tokyo-2020,Men -58kg,Men,BRONZE,Athlete,Jun JANG,Republic of Korea,KR,KOR
Taekwondo,tokyo-2020,Men -58kg,Men,SILVER,Athlete,Mohamed Khalil JENDOUBI,Tunisia,TN,TUN
Taekwondo,tokyo-2020,Men -58kg,Men,BRONZE,Athlete,Mikhail ARTAMONOV,ROC,ROC,ROC
Taekwondo,tokyo-2020,Men -58kg,Men,GOLD,Athlete,Vito DELL'AQUILA,Italy,IT,ITA
Taekwondo,tokyo-2020,Women -49kg,Women,SILVER,Athlete,Adriana CEREZO IGLESIAS,Spain,ES,ESP
Taekwondo,tokyo-2020,Women -49kg,Women,GOLD,Athlete,Panipak WONGPATTANAKIT,Thailand,TH,THA
Taekwondo,tokyo-2020,Women -49kg,Women,BRONZE,Athlete,Tijana BOGDANOVIC,Serbia,RS,SRB
Taekwondo,tokyo-2020,Women -49kg,Women,BRONZE,Athlete,Abishag SEMBERG,Israel,IL,ISR
Cycling Track,tokyo-2020,Women's Team Sprint,Women,GOLD,GameTeam,Shanju BAO,People's Republic of China,CN,CHN
Cycling Track,tokyo-2020,Women's Team Sprint,Women,GOLD,GameTeam,Tianshi ZHONG,People's Republic of China,CN,CHN
Cycling Track,tokyo-2020,Women's Team Sprint,Women,SILVER,GameTeam,Lea Sophie FRIEDRICH,Germany,DE,GER
Cycling Track,tokyo-2020,Women's Team Sprint,Women,SILVER,GameTeam,Emma HINZE,Germany,DE,GER
Cycling Track,tokyo-2020,Women's Team Sprint,Women,BRONZE,GameTeam,Daria SHMELEVA,ROC,ROC,ROC
Cycling Track,tokyo-2020,Women's Team Sprint,Women,BRONZE,GameTeam,Anastasiia VOINOVA,ROC,ROC,ROC
Cycling Track,tokyo-2020,Men's Madison,Men,GOLD,GameTeam,Lasse Norman HANSEN,Denmark,DK,DEN
Cycling Track,tokyo-2020,Men's Madison,Men,GOLD,GameTeam,Michael MORKOV,Denmark,DK,DEN
