athlete_full_name,COUNT(medal_type)
"lamont marcell jacobs",1
"fred kerley",1
"thiago braz",1
"christopher nilsen",1
"armand duplantis",1
"femke bol",1
"sydney mclaughlin",1
"dalilah muhammad",1
"selemon barega",1
"jacob kiplimo",1
"karsten warholm",1
"alison dos santos",1
"rai benjamin",1
"daniel stahl",1
"lukas weisshaidinger",1
"simon pettersson",1
"christine mboma",1
"gabrielle thomas",1
"yaroslava mahuchikh",1
"mariya lasitskene",1
"nicola mcdermott",1
"koki ikeda",1
"toshikazu yamanishi",1
"massimo stano",1
"kirani james",1
"anthony zambrano",1
"steven gardiner",1
"emma oosterwegel",1
"nafissatou thiam",1
"anouk vetter",1
"timothy cheruiyot",1
"jakob ingebrigtsen",1
"josh kerr",1
"mohammed ahmed",1
"paul kipkemoi chelimo",1
"brendon smith",1
"jay litherland",1
"chase kalisz",1
"simona quadarella",1
"lydia jacoby",1
"izaac stubblety-cook",1
